url,property_id,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,has_garage,kitchen_surface_house,bathrooms,heating_type,terrace_surface_apartment,land_surface_house,sewer_connection,running_water,primary_energy_consumption,co2_house,certification_electrical_installation,preemption_right,flooding_area_type,leased,living_room_surface,attic_house,glazing_type,elevator,entry_phone_apartment,access_disabled,apartement_floor_apartment,number_floors_apartment,toilets,cadastral_income_house,property_subtype,postal_code,locality,property_type,municipality_nl,municipality_fr,arrondissement_nl,arrondissement_fr,province_nl,province_fr,median_income,region,address,province,apt_avg_m2_province,house_avg_m2_province,apt_avg_m2_region,house_avg_m2_region,province_benchmark_m2,region_benchmark_m2,national_benchmark_m2
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu69315,rbu69315,269000.0,1.0,51.0,-1,-1.0,0,1,0,-1,-1,1968.0,1,1,-1.0,1.0,-1,-1.0,-1.0,-1,-1,184.0,-1.0,-1,0,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,apartment,2600,berchem,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Grote Steenweg 227 203 2600 Berchem,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu69316,rbu69316,299000.0,2.0,79.0,2,2.0,0,1,0,-1,-1,2011.0,-1,1,-1.0,1.0,5,5.0,-1.0,-1,1,100.0,-1.0,1,1,1,0,22.0,-1.0,-1,1.0,-1.0,-1,2.0,-1.0,1.0,-1.0,apartment,2050,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Hugues C. Pernathlaan 22 203 2050 Antwerp,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu68996,rbu68996,359000.0,3.0,110.0,-1,-1.0,0,1,0,-1,-1,-1.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,1,-1.0,-1.0,-1,-1,-1,0,-1.0,-1.0,-1,0.0,-1.0,-1,2.0,-1.0,1.0,-1.0,apartment,2610,wilrijk,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu69309,rbu69309,239000.0,2.0,84.0,2,2.0,0,1,0,-1,-1,1963.0,-1,-1,-1.0,1.0,3,-1.0,-1.0,-1,1,163.0,-1.0,0,1,-1,0,-1.0,-1.0,-1,1.0,-1.0,-1,5.0,-1.0,-1.0,-1.0,apartment,2060,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Kerkstraat 2 501 2060 Antwerp,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu69307,rbu69307,189000.0,2.0,80.0,2,2.0,0,0,0,-1,-1,1930.0,-1,-1,-1.0,-1.0,-1,-1.0,-1.0,-1,-1,149.0,-1.0,1,0,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,1.0,-1.0,-1.0,-1.0,apartment,2610,wilrijk,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Golfstraat 7 101 2610 Wilrijk,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu68653,rbu68653,269000.0,2.0,96.0,2,-1.0,0,1,0,-1,-1,1974.0,-1,-1,-1.0,1.0,3,10.0,-1.0,-1,1,113.0,-1.0,1,-1,-1,0,37.0,-1.0,-1,0.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,apartment,2018,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Plantin en Moretuslei 335 A071 2018 Antwerp,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68691,rbu68691,224000.0,2.0,86.0,2,2.0,0,1,0,-1,-1,1977.0,-1,-1,-1.0,1.0,3,-1.0,-1.0,-1,1,155.0,-1.0,0,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,1.0,3.0,1.0,949.0,apartment,2100,deurne,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Oude Bosuilbaan 38 102 2100 Deurne,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu68698,rbu68698,217000.0,2.0,78.0,2,2.0,0,1,0,-1,-1,2017.0,-1,-1,-1.0,1.0,3,9.0,-1.0,-1,-1,48.0,-1.0,1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,apartment,2140,borgerhout,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Buurtspoorweglei 16 103 2140 Borgerhout,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu68652,rbu68652,269000.0,2.0,96.0,2,-1.0,0,1,0,-1,-1,1974.0,-1,-1,-1.0,1.0,3,10.0,-1.0,-1,1,113.0,-1.0,1,-1,-1,0,37.0,-1.0,-1,0.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,apartment,2140,borgerhout,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Plantin en Moretuslei 335 A071 2140 Borgerhout,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu68988,rbu68988,269000.0,3.0,119.0,-1,-1.0,-1,1,0,-1,-1,1974.0,-1,-1,-1.0,1.0,-1,-1.0,-1.0,-1,-1,217.0,-1.0,-1,-1,1,0,-1.0,-1.0,-1,1.0,-1.0,0,-1.0,-1.0,1.0,-1.0,apartment,2100,deurne,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
